game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT03/1765150,24,0.5,2.5,3,0.67,4.1,44,0.73,6.0,10,0.7,3.7,24,0.58,5.7,8,0.63,2.5,15,0.47,3.8,15,0.47,2.7,20,0.3,3.0,6,0.33,2.2,0
ESPORTSTMNT02/1698642,5,0.2,1.3,9,0.33,2.8,9,0.56,2.3,10,0.3,2.7,14,0.57,6.5,23,0.52,3.3,6,0.5,5.8,44,0.52,3.1,32,0.5,4.3,14,0.57,2.4,0
ESPORTSTMNT03/1765183,8,0.63,2.5,15,0.47,3.8,15,0.47,2.7,8,0.75,4.2,12,0.42,2.5,24,0.5,2.5,3,0.67,2.8,26,0.62,4.7,24,0.25,3.2,12,0.58,3.5,0
ESPORTSTMNT03/1765200,24,0.5,2.5,15,0.4,3.1,26,0.62,4.7,24,0.25,3.2,8,0.0,1.3,14,0.43,2.6,5,0.2,3.1,15,0.47,2.7,6,0.83,3.7,9,0.56,3.0,1
ESPORTSTMNT02/1698669,1,0.0,0.7,5,0.2,1.3,1,0.0,1.0,0,0.0,0.0,1,0.0,0.5,26,0.65,3.9,3,0.67,5.0,35,0.57,4.0,32,0.5,4.3,2,1.0,12.5,1
ESPORTSTMNT06/1570959,9,0.78,4.3,7,0.86,7.4,4,1.0,27.5,37,0.78,6.4,11,0.73,2.4,16,0.38,2.7,5,0.6,3.0,1,0.0,0.3,6,0.67,6.0,10,0.5,3.2,0
ESPORTSTMNT06/1570961,8,0.5,2.1,4,0.0,2.1,3,0.0,1.0,19,0.47,4.5,16,0.69,4.2,14,0.5,4.3,26,0.73,4.2,14,0.71,5.8,16,0.75,5.7,3,0.67,1.3,1
ESPORTSTMNT06/1570963,2,0.0,2.5,4,0.25,2.7,3,0.0,1.2,8,0.13,1.9,2,0.0,2.2,9,0.56,4.9,1,1.0,0.6,9,0.33,2.4,10,0.6,3.2,17,0.82,7.2,1
ESPORTSTMNT03/1755245,1,0.0,0.4,5,0.4,3.5,5,0.4,1.6,4,0.75,4.8,4,0.75,4.3,10,0.7,3.5,4,0.5,3.9,6,1.0,6.0,3,1.0,10.3,6,0.83,9.2,1
ESPORTSTMNT06/1570966,2,1.0,30.0,4,0.25,1.5,1,1.0,13.0,11,0.55,3.5,12,0.5,2.6,4,0.5,1.2,5,0.6,3.8,3,0.33,1.4,4,0.5,2.1,2,0.5,1.3,0
