game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03/1820594,5,0.6,1.09,1,1.0,1.67,2,0.0,7.25,10,0.5,4.15,7,0.29,2.19,3,1.0,4.64,1,1.0,3.67,0,0,0,5,0.4,4.45,4,0.75,2.19,0
ESPORTSTMNT03/1810466,0,0,0,10,0.5,4.57,4,0.5,1.77,0,0,0,2,0.5,1.56,1,1.0,1.0,12,0.67,4.33,11,0.45,3.68,6,0.67,2.94,1,0.0,2.0,1
ESPORTSTMNT03/1810467,4,0.25,3.18,21,0.57,5.52,13,0.38,9.0,5,0.2,5.1,20,0.5,3.87,9,0.56,2.28,8,0.38,3.41,6,0.5,1.64,31,0.58,3.59,6,0.5,2.15,0
ESPORTSTMNT03/1820599,0,0,0,13,0.31,5.72,6,0.5,3.89,6,0.67,3.41,3,0.33,3.45,1,0.0,1.0,1,0.0,1.8,6,0.33,2.58,18,0.33,2.95,8,0.75,2.46,0
ESPORTSTMNT03/1810468,1,0.0,5.0,11,0.45,4.16,10,0.3,3.22,3,0.33,1.94,0,0,0,1,0.0,1.5,14,0.71,3.24,12,0.67,5.09,15,0.6,6.5,4,0.75,1.86,1
ESPORTSTMNT02/1735680,2,0.5,2.0,1,1.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.86,1,1.0,1.5,0
ESPORTSTMNT02/1725846,1,1.0,7.5,0,0,0,1,1.0,10.0,1,0.0,5.33,2,1.0,27.0,2,0.5,24.0,1,0.0,4.5,0,0,0,1,0.0,7.5,1,1.0,9.0,0
ESPORTSTMNT02/1735713,2,0.5,11.5,1,0.0,11.0,2,0.5,9.33,2,0.5,4.67,1,0.0,5.67,0,0,0,0,0,0,4,0.75,6.62,0,0,0,0,0,0,0
ESPORTSTMNT02/1735722,0,0,0,1,1.0,1.33,0,0,0,1,0.0,1.0,4,0.0,3.14,0,0,0,4,0.25,13.5,1,0.0,2.8,1,0.0,5.5,1,0.0,3.67,1
ESPORTSTMNT02/1735725,4,0.5,3.0,0,0,0,4,0.25,3.5,4,0.75,11.5,1,1.0,0.0,3,0.67,3.56,3,0.0,2.5,1,0.0,9.0,3,0.33,1.82,5,0.6,3.05,1
7359-9954,4,0.5,2.73,2,0.0,8.0,2,0.5,2.8,11,0.36,3.61,2,0.5,3.0,1,1.0,15.0,5,0.4,10.71,0,0,0,6,0.0,8.18,8,0.25,2.12,1
ESPORTSTMNT02/1725882,0,0,0,1,0.0,17.0,0,0,0,0,0,0,3,0.0,2.22,1,0.0,4.0,0,0,0,2,0.0,2.0,0,0,0,1,1.0,1.83,0
ESPORTSTMNT02/1735748,2,0.0,4.75,2,1.0,2.75,3,1.0,3.33,1,0.0,8.0,1,1.0,6.0,2,0.5,0.89,3,0.33,2.07,0,0,0,6,0.33,2.88,6,0.5,3.3,0
7359-9955,5,0.2,4.08,5,0.4,4.73,8,0.5,4.64,2,0.5,2.0,4,0.75,2.36,2,0.5,1.5,6,0.33,4.06,0,0,0,7,0.57,3.05,4,0.75,0.94,0
7360-9956,5,0.8,3.25,1,0.0,12.0,2,0.0,18.0,2,0.5,22.0,9,0.44,3.0,7,0.29,3.08,3,0.33,8.67,3,0.33,2.0,9,0.33,2.92,5,0.2,2.37,0
7360-9957,0,0,0,4,0.0,9.83,6,0.5,4.73,3,0.67,4.4,4,0.5,1.92,6,0.83,4.25,8,0.62,5.0,0,0,0,11,0.36,12.8,4,0.5,3.27,1
ESPORTSTMNT02/1735806,0,0,0,4,1.0,4.33,1,1.0,1.5,3,1.0,5.83,2,1.0,23.0,5,0.4,3.64,4,1.0,4.67,5,0.8,7.29,0,0,0,1,1.0,1.33,1
ESPORTSTMNT02/1725963,5,0.6,3.71,2,1.0,6.33,8,0.75,6.18,8,0.62,7.36,5,0.6,4.06,1,0.0,9.0,1,1.0,11.0,3,1.0,4.89,1,1.0,5.0,1,1.0,3.75,1
ESPORTSTMNT05/1870956,0,0,0,0,0,0,1,0.0,10.0,0,0,0,0,0,0,0,0,0,1,0.0,2.17,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT02/1725972,0,0,0,2,0.5,15.0,1,1.0,6.0,10,0.5,6.62,6,1.0,7.22,0,0,0,3,1.0,6.4,2,0.5,24.0,0,0,0,1,1.0,2.67,1
ESPORTSTMNT02/1725973,0,0,0,5,0.8,3.62,1,0.0,6.0,5,0.8,11.2,3,1.0,3.57,2,0.0,5.5,5,0.8,5.78,6,0.67,8.0,0,0,0,2,0.5,3.4,0
ESPORTSTMNT02/1725974,6,0.5,3.73,2,1.0,6.67,9,0.67,4.91,0,0,0,1,0.0,1.0,2,0.0,9.0,2,0.5,9.67,5,0.8,3.31,2,0.5,9.67,2,1.0,1.67,1
ESPORTSTMNT05/1870957,0,0,0,0,0,0,0,0,0,2,0.0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.22,1,0.0,4.67,0
ESPORTSTMNT02/1725984,6,0.33,3.62,3,0.0,4.43,9,0.44,3.81,8,0.75,4.33,6,0.5,3.93,6,0.67,2.95,2,1.0,13.0,6,1.0,8.0,4,0.75,4.67,0,0,0,1
ESPORTSTMNT02/1726003,3,1.0,13.33,7,0.71,4.29,4,0.75,5.18,4,0.75,5.42,2,1.0,7.33,1,1.0,0.0,1,0.0,1.67,10,0.6,3.87,9,0.56,5.8,0,0,0,1
ESPORTSTMNT02/1726029,4,0.25,3.89,0,0,0,4,0.25,4.12,1,0.0,7.0,2,0.5,1.83,4,0.5,3.38,3,0.33,8.25,4,0.25,5.18,2,1.0,7.33,2,0.0,7.5,0
ESPORTSTMNT05/1870959,0,0,0,2,0.0,1.9,0,0,0,1,1.0,1.4,0,0,0,0,0,0,0,0,0,1,1.0,3.75,0,0,0,0,0,0,0
ESPORTSTMNT02/1726064,3,0.0,7.8,0,0,0,1,0.0,3.0,0,0,0,5,0.6,8.56,1,1.0,4.0,3,0.67,5.17,3,1.0,3.33,10,0.5,5.78,3,0.67,2.54,0
ESPORTSTMNT02/1726065,1,1.0,1.0,3,0.67,15.5,0,0,0,1,1.0,0.0,3,0.67,1.89,1,1.0,2.5,6,0.83,4.44,7,0.86,9.0,1,1.0,1.75,3,1.0,5.83,0
ESPORTSTMNT02/1726067,1,0.0,3.0,1,1.0,6.0,4,0.5,7.8,1,0.0,7.0,1,0.0,1.0,0,0,0,1,1.0,17.0,5,0.4,6.25,8,0.5,6.54,4,0.25,6.78,1
ESPORTSTMNT05/1870961,0,0,0,1,1.0,14.0,0,0,0,3,0.33,3.92,0,0,0,1,1.0,14.0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,0
ESPORTSTMNT02/1735865,2,0.5,3.29,7,0.86,4.06,2,0.5,9.33,6,0.83,13.0,4,1.0,5.14,2,1.0,3.67,6,0.83,4.73,7,0.71,6.5,2,0.5,5.0,4,0.75,3.33,0
ESPORTSTMNT03/1820764,3,0.67,3.25,8,0.62,2.88,7,0.57,4.22,3,1.0,4.12,1,0.0,1.0,12,0.83,2.74,4,0.25,8.57,10,0.7,2.26,14,0.36,7.38,3,0.33,2.33,1
ESPORTSTMNT03/1820783,4,1.0,3.65,9,0.56,2.58,4,0.5,4.8,4,0.5,7.62,4,0.75,3.37,1,1.0,2.2,2,1.0,2.08,9,0.56,4.04,3,1.0,2.69,2,0.5,2.62,0
ESPORTSTMNT03/1810645,1,1.0,6.0,2,0.5,2.83,8,0.5,3.61,4,1.0,7.62,5,0.8,4.15,2,1.0,1.9,5,0.8,5.7,10,0.6,3.57,15,0.33,7.73,1,1.0,3.0,1
ESPORTSTMNT03/1810650,9,0.11,2.24,9,0.44,3.06,11,0.55,3.69,32,0.59,3.55,14,0.5,3.78,0,0,0,4,0.5,3.33,4,0.75,3.58,6,0.5,4.19,7,0.71,1.76,1
ESPORTSTMNT03/1820797,1,0.0,3.25,13,0.62,4.6,13,0.62,5.13,7,0.43,5.0,8,0.62,2.12,10,0.1,2.17,12,0.75,3.49,4,0.25,5.0,33,0.58,3.46,1,0.0,4.5,0
ESPORTSTMNT02/1735960,0,0,0,2,0.5,11.0,3,0.67,1.67,3,1.0,5.14,3,0.67,18.5,0,0,0,0,0,0,5,0.8,5.25,2,0.5,7.5,3,0.33,13.67,1
ESPORTSTMNT02/1735999,1,0.0,5.0,5,0.2,9.86,2,0.0,4.71,2,0.0,3.6,2,0.0,5.8,1,0.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT02/1736016,2,0.5,16.0,0,0,0,0,0,0,2,0.5,2.2,4,0.25,3.1,2,0.5,2.86,0,0,0,1,1.0,1.4,2,0.5,1.67,2,0.0,5.0,0
7361-9958,0,0,0,7,0.43,3.21,1,1.0,12.0,4,0.75,3.91,7,0.43,3.14,2,0.5,6.5,0,0,0,0,0,0,0,0,0,3,0.33,9.0,1
ESPORTSTMNT02/1736026,0,0,0,0,0,0,1,0.0,0.8,5,0.2,4.0,1,0.0,9.0,1,1.0,8.0,2,0.5,2.0,1,0.0,4.33,1,0.0,2.33,0,0,0,1
7361-9959,6,0.33,3.38,5,0.6,2.36,1,0.0,2.5,5,0.4,3.0,1,0.0,7.33,1,0.0,8.0,5,0.0,5.9,0,0,0,8,0.25,3.94,11,0.27,5.07,1
7362-9960,7,0.71,3.76,9,0.33,6.73,3,0.67,2.73,0,0,0,5,0.8,3.88,5,0.6,2.62,4,0.5,2.91,11,0.36,9.38,7,0.86,4.38,10,0.7,4.42,1
7362-9961,6,0.5,2.79,9,0.33,10.4,12,0.33,9.64,6,0.33,8.56,5,0.4,9.33,4,0.25,10.25,1,1.0,6.5,6,0.83,4.86,12,0.33,7.09,1,1.0,1.75,0
ESPORTSTMNT02/1736078,0,0,0,3,0.33,4.0,4,0.25,40.0,2,0.5,8.0,4,0.75,6.83,7,0.57,3.04,2,0.5,8.67,2,0.5,1.5,6,1.0,5.55,5,1.0,5.5,0
ESPORTSTMNT02/1736082,1,1.0,10.0,8,0.38,6.73,1,1.0,9.0,3,0.67,17.67,5,0.8,9.5,2,0.5,3.0,5,0.2,3.54,1,1.0,2.0,9,0.11,5.45,5,0.4,3.8,0
ESPORTSTMNT05/1860919,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,0,0,0,0,0,1,1.0,2.6,1,1.0,4.0,0,0,0,0,0,0,0
ESPORTSTMNT05/1870983,5,0.6,1.5,3,0.67,7.67,5,0.2,13.8,3,0.67,2.78,5,0.4,6.89,1,1.0,15.0,2,0.5,5.0,0,0,0,0,0,0,9,0.56,3.41,1
ESPORTSTMNT02/1736089,7,0.71,4.12,4,0.75,3.0,2,1.0,5.5,7,1.0,5.0,4,1.0,3.7,2,0.5,15.0,4,0.5,5.25,0,0,0,5,0.8,8.75,5,0.8,7.43,0
ESPORTSTMNT02/1736094,0,0,0,4,0.5,18.0,5,0.4,57.0,6,0.83,6.82,6,0.83,5.18,2,1.0,1.0,3,0.67,3.0,3,0.67,1.67,8,1.0,5.43,5,0.4,6.7,0
ESPORTSTMNT05/1870989,2,0.5,25.0,2,0.5,4.6,4,0.75,3.45,2,1.0,22.0,10,0.5,3.6,5,0.2,27.5,3,0.33,3.88,6,0.17,14.6,0,0,0,6,0.33,4.57,1
ESPORTSTMNT05/1860926,1,0.0,5.5,2,0.0,5.0,0,0,0,1,0.0,2.17,3,0.0,1.4,0,0,0,1,1.0,14.0,2,0.0,6.8,0,0,0,3,0.33,2.0,0
ESPORTSTMNT02/1736099,0,0,0,9,0.44,6.59,0,0,0,0,0,0,0,0,0,4,0.5,14.0,0,0,0,0,0,0,8,0.5,4.0,6,0.5,3.0,0
ESPORTSTMNT05/1860927,2,0.0,1.67,2,1.0,6.25,0,0,0,0,0,0,3,0.0,3.0,2,0.5,2.38,0,0,0,2,0.0,1.27,1,0.0,2.8,2,0.0,3.75,1
ESPORTSTMNT05/1870990,4,0.75,5.86,1,1.0,6.0,7,0.14,19.4,9,0.44,5.3,10,0.3,3.15,4,0.25,5.0,3,1.0,5.0,5,0.4,8.78,3,0.67,3.83,1,1.0,19.0,1
ESPORTSTMNT02/1736106,1,0.0,7.0,6,0.33,4.5,0,0,0,1,0.0,6.0,0,0,0,3,0.67,2.06,3,0.33,5.83,1,0.0,8.5,1,0.0,1.67,3,0.67,13.33,0
