game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
6925-9278,22,0.32,2.3,8,0.38,1.7,5,0.6,3.7,6,0.33,2.4,1,1.0,2.0,4,0.5,5.3,7,0.29,4.3,16,0.31,3.1,26,0.42,3.8,21,0.62,6.2,0
6995-9281,23,0.35,2.7,23,0.48,5.5,7,0.57,2.7,0,0,0,31,0.32,1.9,18,0.56,3.3,9,0.56,4.6,17,0.82,7.5,6,0.67,4.5,4,0.75,3.8,1
ESPORTSTMNT01/1691701,20,0.4,2.2,2,0.0,1.5,13,0.23,2.7,18,0.44,3.5,8,0.25,3.2,23,0.57,2.6,15,0.4,3.1,30,0.47,3.3,24,0.25,3.2,4,0.5,4.7,1
6926-9284,13,0.38,2.3,25,0.6,6.1,20,0.55,4.0,6,0.33,2.4,42,0.64,3.7,35,0.77,2.8,12,0.58,4.4,73,0.56,4.1,11,0.45,5.1,15,0.6,2.2,1
6994-9283,20,0.6,2.9,22,0.64,4.8,11,0.55,5.9,31,0.52,3.9,0,0,0,19,0.37,2.6,1,0.0,0.3,10,0.7,6.8,17,0.59,4.8,20,0.6,2.5,0
6925-9279,13,0.46,1.5,3,1.0,12.0,38,0.47,3.0,20,0.45,4.1,12,0.5,2.4,22,0.32,2.3,3,0.0,0.8,7,0.43,5.9,9,0.11,1.9,18,0.5,2.2,0
6995-9282,5,0.0,1.9,23,0.48,5.5,2,0.0,1.6,0,0,0,43,0.53,3.1,18,0.56,3.3,5,1.0,6.3,4,1.0,7.9,47,0.72,4.7,19,0.84,3.8,1
6926-9285,13,0.31,2.1,12,0.58,6.8,20,0.55,4.0,36,0.64,4.6,42,0.5,2.8,3,0.67,2.6,6,0.83,4.8,73,0.56,4.1,5,0.4,6.7,18,0.56,2.7,0
6994-9286,20,0.6,2.9,22,0.64,4.8,11,0.55,5.9,31,0.52,3.9,0,0,0,19,0.37,2.6,1,0.0,3.7,11,0.45,3.6,35,0.43,3.0,10,0.6,2.3,0
6926-9289,13,0.31,2.1,4,0.5,5.7,20,0.55,4.0,6,0.33,2.4,4,0.75,2.2,33,0.64,2.3,12,0.58,4.4,73,0.56,4.1,5,0.2,3.7,15,0.6,2.2,0
ESPORTSTMNT03/1682437,1,1.0,5.5,1,1.0,13.0,4,1.0,8.4,1,1.0,16.0,9,0.67,4.3,0,0,0,19,0.53,4.2,17,0.47,4.9,15,0.33,2.7,7,0.43,2.3,0
ESPORTSTMNT03/1682456,7,0.14,1.5,5,0.2,2.7,6,0.33,2.6,14,0.36,4.2,4,0.5,2.6,6,0.5,5.6,4,0.75,10.8,4,0.5,3.5,19,0.58,4.5,11,0.64,2.5,1
ESPORTSTMNT01/1681947,3,0.67,1.9,8,0.63,8.8,1,0.0,8.0,3,0.0,2.0,0,0,0,11,0.73,4.2,1,1.0,2.3,8,0.38,2.7,0,0,0,1,1.0,7.0,1
ESPORTSTMNT03/1682474,4,0.5,4.7,2,0.0,1.4,4,0.0,1.5,16,0.63,9.4,4,0.0,1.0,4,0.25,1.5,21,0.38,3.1,7,0.71,6.1,12,0.42,3.3,0,0,0,1
ESPORTSTMNT01/1681979,4,0.0,1.4,1,0.0,0.7,2,0.0,1.4,4,0.0,4.2,3,0.33,1.6,4,0.5,2.1,3,0.33,2.1,4,0.75,9.0,8,0.38,2.6,3,0.33,1.6,1
ESPORTSTMNT03/1682498,10,0.5,2.4,0,0,0,2,0.0,0.8,9,0.56,5.1,24,0.54,1.9,7,0.57,2.4,9,0.67,4.3,25,0.4,4.0,29,0.69,5.8,2,1.0,16.0,1
